song_name,song_url
Don T Start Now,/chords/dua-lipa-songs/don-t-start-now-chords
Levitating,/chords/dua-lipa-featuring-dababy-songs/levitating-chords
Cold Heart Sacrifice Ray Isaac Extended Remix,/chords/elton-john-dua-lipa-songs/cold-heart-sacrifice-ray-isaac-extended-remix-chords
New Rules,/chords/dua-lipa-songs/new-rules-chords
Break My Heart,/chords/dua-lipa-songs/break-my-heart-chords
Scared To Be Lonely 2,/chords/martin-garrix-dua-lipa-songs/scared-to-be-lonely-2-chords
Last Dance,/chords/dua-lipa-songs/last-dance-chords
Physical,/chords/dua-lipa-songs/physical-chords
One Kiss,/chords/calvin-harris-dua-lipa-songs/one-kiss-chords
Love Again,/chords/dua-lipa-songs/love-again-chords
Be The One,/chords/dua-lipa-songs/be-the-one-chords
No Lie 2,/chords/sean-paul-feat-dua-lipa-songs/no-lie-2-chords
Levitating,/chords/dua-lipa-songs/levitating-chords
Homesick,/chords/dua-lipa-songs/homesick-chords
Scared To Be Lonely Acoustic Version,/chords/martin-garrix-dua-lipa-songs/scared-to-be-lonely-acoustic-version-chords
Blow Your Mind Mwah,/chords/dua-lipa-songs/blow-your-mind-mwah-chords
Sweetest Pie 2,/chords/megan-thee-stallion-dua-lipa-songs/sweetest-pie-2-chords
Kiss And Make Up,/chords/dua-lipa-blackpink-songs/kiss-and-make-up-chords
Electricity,/chords/silk-city-dua-lipa-songs/electricity-chords
Un Dia One Day,/chords/j-balvin-dua-lipa-bad-bunny-tainy-songs/un-dia-one-day-chords
Thinking Bout You,/chords/dua-lipa-songs/thinking-bout-you-chords
Hallucinate,/chords/dua-lipa-songs/hallucinate-chords
Genesis,/chords/dua-lipa-songs/genesis-chords
